model,coverage_median,coverage_p90,zero_rate_mae,train_time_s,gen_time_s
ZI-QDNN,0.7505161697574003,3.712888997732629,0.020244546021192595,64.03267788887024,60.82301306724548
GRU,2.35024040219545,4.8358010960153,0.015579502273934015,129.92619705200195,83.83881711959839
